<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AAPL.US,D,19841016,000000,0.09197,0.09229,0.09167,0.09167,137021857,0
AAPL.US,D,19841017,000000,0.09537,0.09599,0.09537,0.09537,181854963,0
AAPL.US,D,19841018,000000,0.09813,0.09876,0.09813,0.09813,286942257,0
AAPL.US,D,19841019,000000,0.09813,0.1049,0.09782,0.09813,378610914,0
AAPL.US,D,19841022,000000,0.09813,0.09967,0.0975,0.0975,133225087,0
AAPL.US,D,19841023,000000,0.09967,0.1006,0.09967,0.09967,216441982,0
AAPL.US,D,19841024,000000,0.1006,0.10182,0.1006,0.1006,193895399,0
AAPL.US,D,19841025,000000,0.1006,0.1006,0.0969,0.0969,183623335,0
AAPL.US,D,19841026,000000,0.0969,0.0969,0.09414,0.09445,133329061,0
AAPL.US,D,19841029,000000,0.09475,0.09537,0.09475,0.09475,58797951,0
AAPL.US,D,19841030,000000,0.09599,0.0969,0.09599,0.09599,86597598,0
AAPL.US,D,19841031,000000,0.09599,0.0969,0.09537,0.09537,69928219,0
AAPL.US,D,19841101,000000,0.09599,0.0969,0.09599,0.09599,54611075,0
AAPL.US,D,19841102,000000,0.09599,0.09628,0.09475,0.09537,32142527,0
AAPL.US,D,19841105,000000,0.09537,0.0975,0.09475,0.09475,122328858,0
AAPL.US,D,19841106,000000,0.1006,0.10122,0.1006,0.1006,261587139,0
AAPL.US,D,19841107,000000,0.1006,0.10122,0.09876,0.09876,268816586,0
AAPL.US,D,19841108,000000,0.09876,0.09876,0.09475,0.09475,102304769,0
AAPL.US,D,19841109,000000,0.09475,0.09537,0.0883,0.08922,341475382,0
AAPL.US,D,19841112,000000,0.09229,0.0929,0.09229,0.09229,131482695,0
AAPL.US,D,19841113,000000,0.09229,0.09445,0.09014,0.09014,147059893,0
AAPL.US,D,19841114,000000,0.09106,0.09197,0.09106,0.09106,121132544,0
AAPL.US,D,19841115,000000,0.09106,0.09197,0.09106,0.09106,123759100,0
AAPL.US,D,19841116,000000,0.09106,0.09229,0.08861,0.08922,192439114,0
AAPL.US,D,19841119,000000,0.08922,0.08983,0.08398,0.08398,270480899,0
AAPL.US,D,19841120,000000,0.08675,0.08706,0.08675,0.08675,305614040,0
AAPL.US,D,19841121,000000,0.08861,0.08922,0.08861,0.08861,207496118,0
AAPL.US,D,19841123,000000,0.08983,0.09229,0.08983,0.09106,159152276,0
AAPL.US,D,19841126,000000,0.09197,0.09197,0.09197,0.09197,116841763,0
AAPL.US,D,19841127,000000,0.09445,0.09537,0.09445,0.09445,147918025,0
AAPL.US,D,19841128,000000,0.09937,0.10182,0.09937,0.09937,476598838,0
AAPL.US,D,19841129,000000,0.09937,0.09937,0.0975,0.0975,203023272,0
AAPL.US,D,19841130,000000,0.0975,0.09813,0.09445,0.09475,126203656,0
AAPL.US,D,19841203,000000,0.09475,0.09537,0.09352,0.09352,113773103,0
AAPL.US,D,19841204,000000,0.09537,0.0975,0.09537,0.09537,139752375,0
AAPL.US,D,19841205,000000,0.09998,0.09998,0.09998,0.09998,305224011,0
AAPL.US,D,19841206,000000,0.1049,0.10552,0.1049,0.1049,368338850,0
AAPL.US,D,19841207,000000,0.1049,0.1089,0.10398,0.10458,574118551,0
AAPL.US,D,19841210,000000,0.10458,0.10458,0.10245,0.10245,129428268,0
AAPL.US,D,19841211,000000,0.10245,0.10398,0.10122,0.10122,143705167,0
AAPL.US,D,19841212,000000,0.10122,0.10122,0.09782,0.09782,127789987,0
AAPL.US,D,19841213,000000,0.09876,0.1006,0.09876,0.09876,77599734,0
AAPL.US,D,19841214,000000,0.09876,0.10213,0.09876,0.10122,111614683,0
AAPL.US,D,19841217,000000,0.10367,0.10458,0.10367,0.10367,145395556,0
AAPL.US,D,19841218,000000,0.10983,0.11013,0.10983,0.10983,395384262,0
AAPL.US,D,19841219,000000,0.10983,0.11013,0.10552,0.10552,368598881,0
AAPL.US,D,19841220,000000,0.10552,0.10736,0.1049,0.1049,162350973,0
AAPL.US,D,19841221,000000,0.1049,0.10552,0.10245,0.10367,143835204,0
AAPL.US,D,19841224,000000,0.10552,0.10582,0.10552,0.10552,78405936,0
AAPL.US,D,19841226,000000,0.10582,0.10706,0.10582,0.10582,77989871,0
AAPL.US,D,19841227,000000,0.10644,0.10706,0.10644,0.10644,114657274,0
AAPL.US,D,19841228,000000,0.10644,0.11074,0.10582,0.11013,191944971,0
AAPL.US,D,19841231,000000,0.11167,0.11228,0.11167,0.11167,241198980,0
AAPL.US,D,19850102,000000,0.11167,0.11167,0.10706,0.10706,203517279,0
AAPL.US,D,19850103,000000,0.1089,0.11167,0.1089,0.1089,193427227,0
AAPL.US,D,19850104,000000,0.1089,0.10951,0.10736,0.1089,159360332,0
AAPL.US,D,19850107,000000,0.1089,0.10951,0.10829,0.10829,198420332,0
AAPL.US,D,19850108,000000,0.10829,0.10951,0.10736,0.10736,163833218,0
AAPL.US,D,19850109,000000,0.11013,0.11167,0.11013,0.11013,193557353,0
AAPL.US,D,19850110,000000,0.11506,0.11537,0.11506,0.11506,321659346,0
AAPL.US,D,19850111,000000,0.11506,0.11601,0.11289,0.11413,238052366,0
AAPL.US,D,19850114,000000,0.1172,0.11842,0.1172,0.1172,313961702,0
AAPL.US,D,19850115,000000,0.1172,0.11935,0.11506,0.11506,307616462,0
AAPL.US,D,19850116,000000,0.11601,0.11784,0.11601,0.11601,220446776,0
AAPL.US,D,19850117,000000,0.11601,0.11784,0.10767,0.10767,635647020,0
AAPL.US,D,19850118,000000,0.10767,0.11228,0.10736,0.10983,409427173,0
AAPL.US,D,19850121,000000,0.11228,0.11289,0.11228,0.11228,377804733,0
AAPL.US,D,19850122,000000,0.11537,0.11601,0.11537,0.11537,493216206,0
AAPL.US,D,19850123,000000,0.11537,0.11601,0.1135,0.1135,499795573,0
AAPL.US,D,19850124,000000,0.1135,0.1135,0.11136,0.11136,460969569,0
AAPL.US,D,19850125,000000,0.11136,0.1135,0.1089,0.1135,369717101,0
AAPL.US,D,19850128,000000,0.11601,0.1172,0.11601,0.11601,478523147,0
AAPL.US,D,19850129,000000,0.11601,0.11692,0.11473,0.11473,259740800,0
AAPL.US,D,19850130,000000,0.11473,0.11692,0.11473,0.11473,571700139,0
AAPL.US,D,19850131,000000,0.11473,0.11506,0.11136,0.11136,320697159,0
AAPL.US,D,19850201,000000,0.11136,0.11167,0.1089,0.10983,159906490,0
AAPL.US,D,19850204,000000,0.11228,0.1126,0.11228,0.11228,253109349,0
AAPL.US,D,19850205,000000,0.11289,0.11506,0.11289,0.11289,220628793,0
AAPL.US,D,19850206,000000,0.11506,0.11506,0.11506,0.11506,225725795,0
AAPL.US,D,19850207,000000,0.11506,0.11659,0.11473,0.11473,284991869,0
AAPL.US,D,19850208,000000,0.11473,0.11506,0.11289,0.11473,153275111,0
AAPL.US,D,19850211,000000,0.11692,0.11784,0.11692,0.11692,402795767,0
AAPL.US,D,19850212,000000,0.11692,0.1172,0.11413,0.11413,262965417,0
AAPL.US,D,19850213,000000,0.11413,0.11413,0.1089,0.1089,611852231,0
AAPL.US,D,19850214,000000,0.1089,0.10983,0.10582,0.10582,495530576,0
AAPL.US,D,19850215,000000,0.10582,0.10767,0.1049,0.10736,201566919,0
AAPL.US,D,19850219,000000,0.10706,0.10706,0.10582,0.10582,173949276,0
AAPL.US,D,19850220,000000,0.10582,0.10644,0.10122,0.10122,255371872,0
AAPL.US,D,19850221,000000,0.10306,0.10367,0.10306,0.10306,357832695,0
AAPL.US,D,19850222,000000,0.10306,0.10706,0.10306,0.10582,262991396,0
AAPL.US,D,19850225,000000,0.10582,0.10644,0.10458,0.10458,114397207,0
AAPL.US,D,19850226,000000,0.10458,0.1049,0.10245,0.10245,219380515,0
AAPL.US,D,19850227,000000,0.10245,0.10245,0.09628,0.09628,468537174,0
AAPL.US,D,19850228,000000,0.09628,0.09628,0.09475,0.09475,370419224,0
AAPL.US,D,19850301,000000,0.09475,0.09537,0.09197,0.09537,287254308,0
AAPL.US,D,19850304,000000,0.0969,0.09967,0.0969,0.0969,177746102,0
AAPL.US,D,19850305,000000,0.09937,0.09937,0.09937,0.09937,151818814,0
AAPL.US,D,19850306,000000,0.09937,0.09937,0.09445,0.09445,224763605,0
AAPL.US,D,19850307,000000,0.09445,0.09475,0.0849,0.0849,852115061,0
AAPL.US,D,19850308,000000,0.0849,0.0849,0.07937,0.08245,549777609,0
AAPL.US,D,19850311,000000,0.08521,0.08583,0.08521,0.08521,332035419,0
AAPL.US,D,19850312,000000,0.0883,0.08922,0.0883,0.0883,254747724,0
AAPL.US,D,19850313,000000,0.0883,0.0883,0.08337,0.08337,291545245,0
AAPL.US,D,19850314,000000,0.08337,0.08398,0.08337,0.08337,280492944,0
AAPL.US,D,19850315,000000,0.08337,0.08861,0.08276,0.08675,210616736,0
AAPL.US,D,19850318,000000,0.08768,0.08861,0.08768,0.08768,144849421,0
AAPL.US,D,19850319,000000,0.08768,0.08861,0.08428,0.08428,199044409,0
AAPL.US,D,19850320,000000,0.08521,0.08675,0.08521,0.08521,470149504,0
AAPL.US,D,19850321,000000,0.08675,0.0883,0.08675,0.08675,188616344,0
AAPL.US,D,19850322,000000,0.08675,0.0883,0.08521,0.08521,93306983,0
AAPL.US,D,19850325,000000,0.08521,0.08521,0.08276,0.08276,127659893,0
AAPL.US,D,19850326,000000,0.08644,0.08644,0.08644,0.08644,140974653,0
AAPL.US,D,19850327,000000,0.08644,0.08706,0.08398,0.08398,129272288,0
AAPL.US,D,19850328,000000,0.08398,0.08521,0.08398,0.08398,150466543,0
AAPL.US,D,19850329,000000,0.08398,0.08521,0.08398,0.0849,101212525,0
AAPL.US,D,19850401,000000,0.0849,0.08675,0.08276,0.08276,132418914,0
AAPL.US,D,19850402,000000,0.08276,0.08337,0.0806,0.0806,264031597,0
AAPL.US,D,19850403,000000,0.0806,0.0809,0.0806,0.0806,281715181,0
AAPL.US,D,19850404,000000,0.0806,0.0809,0.07905,0.07999,187914172,0
AAPL.US,D,19850408,000000,0.07999,0.0806,0.07507,0.07507,230718860,0
AAPL.US,D,19850409,000000,0.07507,0.07569,0.07507,0.07507,306368238,0
AAPL.US,D,19850410,000000,0.0806,0.08152,0.0806,0.0806,263433525,0
AAPL.US,D,19850411,000000,0.08214,0.08428,0.08214,0.08214,170282611,0
AAPL.US,D,19850412,000000,0.08214,0.08214,0.07937,0.07999,84205085,0
AAPL.US,D,19850415,000000,0.08214,0.08276,0.08214,0.08214,69460100,0
AAPL.US,D,19850416,000000,0.08276,0.08337,0.08276,0.08276,78536001,0
AAPL.US,D,19850417,000000,0.08675,0.08768,0.08675,0.08675,143081062,0
AAPL.US,D,19850418,000000,0.08768,0.0883,0.08768,0.08768,235009714,0
AAPL.US,D,19850419,000000,0.08768,0.08768,0.08583,0.08644,111484649,0
AAPL.US,D,19850422,000000,0.08644,0.08644,0.08276,0.08276,119104174,0
AAPL.US,D,19850423,000000,0.0849,0.08521,0.0849,0.0849,137333859,0
AAPL.US,D,19850424,000000,0.0849,0.08644,0.08428,0.08428,91642616,0
AAPL.US,D,19850425,000000,0.08428,0.0849,0.08428,0.08428,101732648,0
AAPL.US,D,19850426,000000,0.08428,0.08675,0.08398,0.08398,138972233,0
