date,EarningsPerShareBasic,EarningsPerShareBasic_unit,EarningsPerShareDiluted,EarningsPerShareDiluted_unit,NetIncomeLoss,NetIncomeLoss_unit,OperatingIncomeLoss,OperatingIncomeLoss_unit,GrossProfit,GrossProfit_unit,Revenues,Revenues_unit,form,filed,fy,fp
2012-03-31,26.48,USD/shares,26.17,USD/shares,24686000000,USD,32724000000,USD,39267000000,USD,,,,,,
2011-12-31,14.03,USD/shares,13.87,USD/shares,13064000000,USD,17340000000,USD,20703000000,USD,,,,,,
2011-09-24,28.05,USD/shares,27.68,USD/shares,25922000000,USD,33790000000,USD,43818000000,USD,,,,,,
2011-06-25,20.91,USD/shares,20.63,USD/shares,19299000000,USD,25080000000,USD,32438000000,USD,,,,,,
2011-03-26,13.02,USD/shares,12.83,USD/shares,11991000000,USD,15701000000,USD,20516000000,USD,,,,,,
2010-12-25,6.53,USD/shares,6.43,USD/shares,6004000000,USD,7827000000,USD,10298000000,USD,,,,,,
2010-09-25,15.41,USD/shares,15.15,USD/shares,14013000000,USD,18385000000,USD,25684000000,USD,,,,,,
2010-06-26,10.69,USD/shares,10.51,USD/shares,9705000000,USD,12938000000,USD,18172000000,USD,,,,,,
2010-03-27,7.12,USD/shares,7.0,USD/shares,6452000000,USD,8704000000,USD,12036000000,USD,,,,,,
2009-12-26,3.74,USD/shares,3.67,USD/shares,3378000000,USD,4725000000,USD,6411000000,USD,,,,,,
2009-09-26,6.39,USD/shares,6.29,USD/shares,5704000000,USD,7658000000,USD,13140000000,USD,,,,,,
2009-06-27,4.53,USD/shares,4.47,USD/shares,4039000000,USD,5465000000,USD,9526000000,USD,,,,,,
2009-03-28,4.35,USD/shares,4.29,USD/shares,3875000000,USD,5424000000,USD,8134000000,USD,,,,,,
2008-12-27,2.54,USD/shares,2.5,USD/shares,2255000000,USD,3101000000,USD,4507000000,USD,,,,,,
2008-09-27,5.48,USD/shares,5.36,USD/shares,4834000000,USD,6275000000,USD,11145000000,USD,,,,,,
2008-06-28,4.2,USD/shares,4.1,USD/shares,3698000000,USD,4833000000,USD,8406000000,USD,,,,,,
2007-09-29,4.04,USD/shares,3.93,USD/shares,3496000000,USD,4409000000,USD,8154000000,USD,,,,,,
